Escolaridade,Percentual_Ocupados,Ano,Trimestre
2.0,10.344827586206897,2019,1
3.0,15.124153498871332,2019,1
4.0,15.555555555555555,2019,1
5.0,17.88256227758007,2019,1
6.0,18.181818181818183,2019,1
7.0,39.13388955105284,2019,1
8.0,34.69387755102041,2019,1
9.0,16.037735849056602,2019,1
10.0,50.07695267410542,2019,1
11.0,47.11538461538461,2019,1
12.0,65.88579795021961,2019,1
13.0,71.6931216931217,2019,1
14.0,78.33333333333333,2019,1
15.0,71.42857142857143,2019,1
2.0,17.647058823529413,2019,2
3.0,15.789473684210526,2019,2
4.0,16.0,2019,2
5.0,15.338474721508142,2019,2
6.0,13.253012048192772,2019,2
7.0,38.68930122384524,2019,2
8.0,32.45614035087719,2019,2
9.0,18.64406779661017,2019,2
10.0,50.22885572139304,2019,2
11.0,42.74193548387097,2019,2
12.0,64.50184501845018,2019,2
13.0,78.15533980582524,2019,2
14.0,86.95652173913044,2019,2
15.0,91.66666666666666,2019,2
2.0,6.896551724137931,2019,3
3.0,13.947990543735225,2019,3
4.0,20.454545454545457,2019,3
5.0,14.8424543946932,2019,3
6.0,8.641975308641975,2019,3
7.0,39.7845249755142,2019,3
8.0,23.015873015873016,2019,3
9.0,20.833333333333336,2019,3
10.0,50.821944939592,2019,3
11.0,39.16666666666666,2019,3
12.0,65.10115606936417,2019,3
13.0,74.93796526054591,2019,3
14.0,71.11111111111111,2019,3
15.0,90.0,2019,3
2.0,10.256410256410255,2019,4
3.0,15.926892950391643,2019,4
4.0,24.444444444444443,2019,4
5.0,16.419141914191417,2019,4
6.0,9.574468085106384,2019,4
7.0,40.46730806989986,2019,4
8.0,34.90566037735849,2019,4
9.0,20.0,2019,4
10.0,51.53061224489795,2019,4
11.0,48.598130841121495,2019,4
12.0,65.17595307917888,2019,4
13.0,76.05985037406484,2019,4
14.0,75.0,2019,4
15.0,86.66666666666667,2019,4
2.0,26.08695652173913,2020,1
3.0,13.57615894039735,2020,1
4.0,21.21212121212121,2020,1
