Idade,Renda_Media,Ano,Trimestre
0,,2019,1
1,,2019,1
2,,2019,1
3,,2019,1
4,,2019,1
5,,2019,1
6,,2019,1
7,,2019,1
8,,2019,1
9,,2019,1
10,,2019,1
11,,2019,1
12,,2019,1
13,,2019,1
14,286.6666666666667,2019,1
15,322.5,2019,1
16,267.8260869565217,2019,1
17,578.1111111111111,2019,1
18,520.3563218390805,2019,1
19,688.36,2019,1
20,740.9915966386554,2019,1
21,828.2635658914729,2019,1
22,882.9597315436241,2019,1
23,1048.1085714285714,2019,1
24,1103.780487804878,2019,1
25,926.0515463917526,2019,1
26,1084.0478723404256,2019,1
27,1195.9329268292684,2019,1
28,1331.6972972972974,2019,1
29,1401.340425531915,2019,1
30,1340.1397379912664,2019,1
31,1642.3093525179856,2019,1
32,1506.930875576037,2019,1
33,1540.151376146789,2019,1
34,1649.8333333333333,2019,1
35,1861.8597285067876,2019,1
36,1602.5569105691056,2019,1
37,1400.9712918660289,2019,1
38,1631.4458874458874,2019,1
39,1729.6315789473683,2019,1
40,1297.0972762645915,2019,1
41,1616.2666666666669,2019,1
42,1452.073394495413,2019,1
43,1667.639175257732,2019,1
44,2013.1076923076923,2019,1
45,1637.1635514018692,2019,1
46,1439.8977272727273,2019,1
47,2022.3283582089557,2019,1
48,1810.6338797814208,2019,1
49,1938.8967741935485,2019,1
50,1781.6352941176472,2019,1
51,1746.985294117647,2019,1
52,1687.4777070063694,2019,1
53,1572.391304347826,2019,1
54,1871.761194029851,2019,1
55,1694.475,2019,1
56,1325.138211382114,2019,1
57,1728.5,2019,1
58,1398.93,2019,1
59,1781.7671232876712,2019,1
60,1724.6823529411763,2019,1
61,1625.2698412698412,2019,1
62,1997.276595744681,2019,1
63,2099.014285714285,2019,1
64,1764.516129032258,2019,1
65,2022.5,2019,1
66,1298.576923076923,2019,1
67,3040.103448275862,2019,1
68,1655.5454545454545,2019,1
69,3499.8823529411766,2019,1
70,4488.833333333333,2019,1
71,5409.090909090909,2019,1
72,5453.571428571428,2019,1
73,1264.0,2019,1
74,1424.6666666666667,2019,1
75,1214.0,2019,1
76,5000.0,2019,1
77,588.5,2019,1
78,4399.666666666667,2019,1
79,175.0,2019,1
80,1350.0,2019,1
81,2966.6666666666665,2019,1
82,,2019,1
83,,2019,1
84,,2019,1
85,,2019,1
86,,2019,1
87,35.0,2019,1
88,,2019,1
89,83.0,2019,1
90,,2019,1
91,,2019,1
92,,2019,1
93,235.0,2019,1
94,,2019,1
95,,2019,1
96,,2019,1
97,,2019,1
99,,2019,1
100,,2019,1
101,,2019,1
102,,2019,1
103,,2019,1
113,,2019,1
0,,2019,2
1,,2019,2
2,,2019,2
3,,2019,2
4,,2019,2
5,,2019,2
6,,2019,2
7,,2019,2
8,,2019,2
9,,2019,2
10,,2019,2
11,,2019,2
12,,2019,2
13,,2019,2
14,252.5,2019,2
15,345.45454545454544,2019,2
16,361.4285714285714,2019,2
17,476.4390243902439,2019,2
18,492.97297297297297,2019,2
19,637.8454545454546,2019,2
20,815.1454545454545,2019,2
21,833.5098039215686,2019,2
22,849.8321167883212,2019,2
23,957.329479768786,2019,2
24,1046.807453416149,2019,2
25,1029.7912087912089,2019,2
26,1166.567901234568,2019,2
27,1345.1304347826087,2019,2
28,1199.167597765363,2019,2
29,1413.5681818181818,2019,2
30,1322.743801652893,2019,2
31,1288.830188679245,2019,2
32,1470.5592417061612,2019,2
33,1593.426605504587,2019,2
34,1512.9698492462312,2019,2
35,1643.2341463414634,2019,2
36,1368.8019323671497,2019,2
37,1702.9358974358977,2019,2
38,1684.2008547008547,2019,2
39,1786.2397660818713,2019,2
40,1378.8650793650793,2019,2
41,1994.628272251309,2019,2
42,1381.5172413793102,2019,2
43,1659.4635416666667,2019,2
44,1671.4117647058824,2019,2
45,1968.703125,2019,2
46,1596.8333333333333,2019,2
47,2511.0915492957747,2019,2
48,1665.0397350993378,2019,2
49,1796.4935897435898,2019,2
50,1901.9942857142855,2019,2
51,1805.6640625,2019,2
52,1763.35625,2019,2
53,1958.556390977444,2019,2
54,2030.4788732394368,2019,2
55,1940.27868852459,2019,2
56,1954.46,2019,2
57,1759.7605633802816,2019,2
58,1712.7157894736845,2019,2
59,1365.2025316455697,2019,2
60,2013.679012345679,2019,2
61,1604.7727272727273,2019,2
62,1942.659574468085,2019,2
63,2022.43137254902,2019,2
64,1977.9791666666667,2019,2
65,3406.121212121212,2019,2
66,2058.4615384615386,2019,2
67,1847.6521739130435,2019,2
68,2227.0,2019,2
69,2672.0,2019,2
70,4078.1739130434794,2019,2
71,1985.0,2019,2
72,4743.75,2019,2
73,2450.0,2019,2
74,658.3333333333334,2019,2
75,591.3333333333334,2019,2
76,100.0,2019,2
77,1038.3333333333333,2019,2
78,3142.5714285714284,2019,2
79,3610.0,2019,2
80,450.0,2019,2
81,1499.0,2019,2
82,2000.0,2019,2
83,,2019,2
84,,2019,2
85,150.0,2019,2
86,,2019,2
87,,2019,2
88,,2019,2
89,,2019,2
90,,2019,2
91,,2019,2
92,,2019,2
93,210.0,2019,2
94,,2019,2
95,,2019,2
96,,2019,2
97,,2019,2
98,,2019,2
99,,2019,2
100,,2019,2
101,,2019,2
102,,2019,2
104,,2019,2
0,,2019,3
1,,2019,3
2,,2019,3
3,,2019,3
4,,2019,3
5,,2019,3
6,,2019,3
7,,2019,3
8,,2019,3
9,,2019,3
10,,2019,3
11,,2019,3
12,,2019,3
13,,2019,3
14,,2019,3
15,287.5,2019,3
16,248.94736842105263,2019,3
17,469.7173913043478,2019,3
18,585.4264705882352,2019,3
19,618.7476635514018,2019,3
20,763.6695652173913,2019,3
21,845.2013888888889,2019,3
22,848.8992805755396,2019,3
23,900.48,2019,3
24,997.3375796178344,2019,3
25,1065.9615384615386,2019,3
26,1166.8197674418604,2019,3
27,1222.0641711229946,2019,3
28,1149.7413793103449,2019,3
29,1244.202247191011,2019,3
30,1314.9336283185842,2019,3
31,1322.6511627906978,2019,3
32,1361.2196261682243,2019,3
33,1441.2226890756303,2019,3
34,1539.0534759358288,2019,3
35,1680.1435643564355,2019,3
36,1600.1012658227849,2019,3
37,1649.2037037037037,2019,3
38,1853.5849056603772,2019,3
39,1775.659574468085,2019,3
40,1322.4343891402716,2019,3
41,1837.5172413793105,2019,3
42,1296.8527918781726,2019,3
43,1801.8853211009173,2019,3
