Ano	Trimestre	UF	Capital	RM_RIDE	UPA	Estrato	V1008	V1014	V1016	V1022	V1023	V1027	V1028	V1029	V1033	posest	posest_sxi	V4012	V4013	V40132A	V4015	V40151	V401511	V401512	V4016	V40161	V40162	V40163	V4017	V40171	V401711	V4018	V40181	V40182	V40183	V4019	V4020	V4021	V4022	V4024	V4025	V4026	V4027	V4028	V4029	V4032	V4033	V40331	V403312	V403322	V4034	V403412	V403422	V4039	V4039C	V4043	V4044	V4045	V4046	V4048	V4050	V40501	V405012	V4051	V40511	V405112	V405122	V405912	V405922	V4062	V4062C	V4063	V4063A	V4064	V4064A
2024	1	26			260000408	2652021	2	11	3	2	4	88.40171026	92.60048241	5523611	5552606	264	213																																																										
2024	1	26			260000408	2652021	2	11	3	2	4	88.40171026	92.60048241	5523611	8479753	264	209																																																										
2024	1	26			260000408	2652021	2	11	3	2	4	88.40171026	92.60048241	5523611	8023947	264	109																																																										
2024	1	26			260000408	2652021	3	11	3	2	4	88.40171026	116.82080471	5523611	8429392	264	208																																																										
2024	1	26			260000408	2652021	3	11	3	2	4	88.40171026	116.82080471	5523611	7972976	264	107	3.0	1201.0	1.0	2.0											1.0	3.0				2.0				2.0				1.0		1.0	1.0	1420.0		1.0	2500.0		44.0	44.0																		2.0		
2024	1	26			260000408	2652021	3	11	3	2	4	88.40171026	116.82080471	5523611	7430044	264	102																																																										
2024	1	26			260000408	2652021	3	11	3	2	4	88.40171026	116.82080471	5523611	7430044	264	102																																																										
2024	1	26			260000408	2652021	4	11	3	2	4	88.40171026	117.70495558	5523611	8067105	264	105	3.0	1201.0	1.0	2.0											1.0	5.0				2.0				2.0				2.0	2.0	1.0	1.0	800.0		1.0	800.0		25.0	25.0																		2.0		
2024	1	26			260000408	2652021	4	11	3	2	4	88.40171026	117.70495558	5523611	8749654	264	204																																																										
2024	1	26			260000408	2652021	4	11	3	2	4	88.40171026	117.70495558	5523611	1788796	264	117																																																										
2024	1	26			260000408	2652021	4	11	3	2	4	88.40171026	117.70495558	5523611	7591780	264	210																																																										
2024	1	26			260000408	2652021	4	11	3	2	4	88.40171026	117.70495558	5523611	8169875	264	106	3.0	1201.0	1.0	2.0											1.0	5.0				2.0				2.0				2.0	2.0	1.0	1.0	800.0		1.0	800.0		25.0	25.0																		2.0		
2024	1	26			260000408	2652021	5	11	3	2	4	88.40171026	105.09590108	5523611	5564067	264	112	3.0	1201.0	1.0	2.0											1.0	5.0				2.0				2.0				1.0		1.0	1.0	1500.0		1.0	1500.0		40.0	40.0																		2.0		
2024	1	26			260000408	2652021	5	11	3	2	4	88.40171026	105.09590108	5523611	8479753	264	209																																																										
2024	1	26			260000408	2652021	5	11	3	2	4	88.40171026	105.09590108	5523611	8169875	264	106																																																										
2024	1	26			260000408	2652021	7	11	3	2	4	88.40171026	160.36910356	5523611	8067105	264	105	3.0	1201.0	1.0	2.0											1.0	5.0				2.0				2.0				1.0		1.0	1.0	1600.0		1.0	1600.0		40.0	40.0																		2.0		
2024	1	26			260000408	2652021	8	11	3	2	4	88.40171026	146.91867441	5523611	7856633	264	205																																																										
2024	1	26			260000408	2652021	8	11	3	2	4	88.40171026	146.91867441	5523611	7972976	264	107	3.0	1105.0	1.0	2.0											4.0					2.0				2.0				1.0		1.0	1.0	1800.0		1.0	1800.0		40.0	40.0																		2.0		
2024	1	26			260000408	2652021	9	11	3	2	4	88.40171026	128.71507123	5523611	8207254	264	206																																																										
2024	1	26			260000408	2652021	9	11	3	2	4	88.40171026	128.71507123	5523611	8067105	264	105	3.0	1201.0	1.0	2.0											1.0	5.0				2.0				2.0				2.0	2.0	1.0	1.0	300.0		1.0	250.0		30.0	30.0																		2.0		
2024	1	26			260000408	2652021	9	11	3	2	4	88.40171026	128.71507123	5523611	7430044	264	102																																																										
2024	1	26			260000408	2652021	12	11	3	2	4	88.40171026	96.41172975	5523611	5564067	264	112																																																										
2024	1	26			260000408	2652021	13	11	3	2	4	88.40171026	118.3700859	5523611	7856633	264	205																																																										
2024	1	26			260000408	2652021	13	11	3	2	4	88.40171026	118.3700859	5523611	3748460	264	114	3.0	1201.0	1.0	2.0											1.0	2.0				2.0				2.0				2.0	2.0	1.0	1.0	500.0		1.0	500.0		40.0	40.0																		2.0		
2024	1	26			260000408	2652021	13	11	3	2	4	88.40171026	118.3700859	5523611	7856633	264	205																																																										
2024	1	26			260000408	2652021	14	11	3	2	4	88.40171026	108.99757414	5523611	6165217	264	111	3.0	1201.0	1.0	2.0											1.0	2.0				2.0				2.0				2.0	2.0	1.0	1.0	700.0		1.0	700.0		50.0	50.0																		2.0		
2024	1	26			260000600	2653013	1	11	1	1	4	527.27901786	711.4957216	5523611	8749654	264	204																																																										
2024	1	26			260000600	2653013	1	11	1	1	4	527.27901786	711.4957216	5523611	9148675	264	104																																																										
