Horas_Semanais,Renda_Total,Ano,Trimestre
1.0,555.0,2019,1
2.0,650.0,2019,1
3.0,1772.0,2019,1
4.0,4928.0,2019,1
5.0,5650.0,2019,1
6.0,5473.0,2019,1
7.0,1875.0,2019,1
8.0,52067.0,2019,1
9.0,5485.0,2019,1
10.0,42372.0,2019,1
11.0,240.0,2019,1
12.0,36901.0,2019,1
13.0,800.0,2019,1
14.0,6378.0,2019,1
15.0,23580.0,2019,1
16.0,62126.0,2019,1
18.0,44062.0,2019,1
20.0,413431.0,2019,1
21.0,8980.0,2019,1
22.0,2570.0,2019,1
24.0,198440.0,2019,1
25.0,86105.0,2019,1
26.0,15875.0,2019,1
27.0,11650.0,2019,1
28.0,24400.0,2019,1
30.0,1332703.0,2019,1
31.0,998.0,2019,1
32.0,39378.0,2019,1
33.0,2554.0,2019,1
34.0,16120.0,2019,1
35.0,100730.0,2019,1
36.0,236191.0,2019,1
37.0,41375.0,2019,1
38.0,6296.0,2019,1
40.0,4467184.0,2019,1
42.0,72460.0,2019,1
44.0,1731246.0,2019,1
45.0,187131.0,2019,1
46.0,58728.0,2019,1
47.0,2000.0,2019,1
48.0,1060936.0,2019,1
49.0,1840.0,2019,1
50.0,445686.0,2019,1
51.0,3797.0,2019,1
52.0,13581.0,2019,1
53.0,4170.0,2019,1
54.0,30682.0,2019,1
55.0,33790.0,2019,1
56.0,85474.0,2019,1
58.0,5104.0,2019,1
60.0,339569.0,2019,1
62.0,1200.0,2019,1
63.0,2498.0,2019,1
64.0,3200.0,2019,1
65.0,6002.0,2019,1
66.0,11846.0,2019,1
70.0,63520.0,2019,1
71.0,2000.0,2019,1
72.0,29448.0,2019,1
73.0,850.0,2019,1
76.0,120.0,2019,1
77.0,11120.0,2019,1
78.0,3954.0,2019,1
80.0,8500.0,2019,1
82.0,3250.0,2019,1
84.0,4398.0,2019,1
94.0,998.0,2019,1
96.0,5798.0,2019,1
98.0,3954.0,2019,1
105.0,800.0,2019,1
1.0,650.0,2019,2
2.0,4695.0,2019,2
3.0,3545.0,2019,2
4.0,6369.0,2019,2
5.0,39535.0,2019,2
6.0,27527.0,2019,2
7.0,940.0,2019,2
8.0,22672.0,2019,2
9.0,2220.0,2019,2
10.0,37556.0,2019,2
11.0,1080.0,2019,2
12.0,28670.0,2019,2
14.0,5930.0,2019,2
15.0,19010.0,2019,2
16.0,52686.0,2019,2
17.0,1400.0,2019,2
18.0,16238.0,2019,2
20.0,422269.0,2019,2
21.0,17698.0,2019,2
22.0,2300.0,2019,2
23.0,600.0,2019,2
24.0,235780.0,2019,2
25.0,49128.0,2019,2
26.0,11300.0,2019,2
27.0,7008.0,2019,2
28.0,15901.0,2019,2
30.0,1401529.0,2019,2
32.0,60588.0,2019,2
33.0,1198.0,2019,2
34.0,26498.0,2019,2
35.0,133570.0,2019,2
36.0,275903.0,2019,2
37.0,998.0,2019,2
38.0,11720.0,2019,2
40.0,4554475.0,2019,2
41.0,5500.0,2019,2
42.0,63609.0,2019,2
43.0,11000.0,2019,2
44.0,1464053.0,2019,2
45.0,115204.0,2019,2
46.0,38443.0,2019,2
47.0,4798.0,2019,2
48.0,1049279.0,2019,2
49.0,6098.0,2019,2
50.0,492895.0,2019,2
51.0,19000.0,2019,2
52.0,15225.0,2019,2
53.0,998.0,2019,2
54.0,64776.0,2019,2
55.0,48194.0,2019,2
56.0,71933.0,2019,2
