Sexo,Escolaridade,Renda_Media,Ano,Trimestre
1,2.0,1053.3333333333333,2019,1
1,3.0,511.6268656716418,2019,1
1,4.0,455.0,2019,1
1,5.0,964.7044025157232,2019,1
1,6.0,966.3333333333334,2019,1
1,7.0,941.447400990099,2019,1
1,8.0,615.6944444444445,2019,1
1,9.0,1749.0,2019,1
1,10.0,1443.017391304348,2019,1
1,11.0,1065.8709677419354,2019,1
1,12.0,3909.484560570071,2019,1
1,13.0,5502.2962962962965,2019,1
1,14.0,8845.0,2019,1
1,15.0,9955.555555555557,2019,1
2,2.0,998.0,2019,1
2,3.0,357.0769230769231,2019,1
2,4.0,125.0,2019,1
2,5.0,419.8813559322034,2019,1
2,6.0,1399.6,2019,1
2,7.0,711.9366085578447,2019,1
2,8.0,587.3913043478261,2019,1
2,9.0,1421.7142857142858,2019,1
2,10.0,1051.2948609941027,2019,1
2,11.0,816.6153846153846,2019,1
2,12.0,2405.005703422053,2019,1
2,13.0,3564.850678733032,2019,1
2,14.0,4882.291666666667,2019,1
2,15.0,7235.714285714285,2019,1
1,2.0,500.0,2019,2
1,3.0,623.8970588235294,2019,2
1,4.0,318.4,2019,2
1,5.0,838.4577464788732,2019,2
1,6.0,794.2222222222222,2019,2
1,7.0,924.7501565435192,2019,2
1,8.0,782.4516129032259,2019,2
1,9.0,2268.75,2019,2
1,10.0,1525.9794344473007,2019,2
1,11.0,988.1538461538462,2019,2
1,12.0,3642.745762711864,2019,2
1,13.0,6558.918367346939,2019,2
1,14.0,8088.461538461538,2019,2
1,15.0,10100.0,2019,2
2,2.0,167.5,2019,2
2,3.0,500.9090909090909,2019,2
2,4.0,1233.3333333333333,2019,2
2,5.0,573.3,2019,2
2,6.0,433.3333333333333,2019,2
2,7.0,667.3693270735524,2019,2
2,8.0,479.8,2019,2
2,9.0,1190.909090909091,2019,2
2,10.0,1100.365619546248,2019,2
2,11.0,662.1851851851852,2019,2
2,12.0,2443.7294589178355,2019,2
2,13.0,3676.865217391304,2019,2
2,14.0,3655.571428571429,2019,2
2,15.0,7289.636363636364,2019,2
1,2.0,450.0,2019,3
1,3.0,488.9107142857143,2019,3
1,4.0,446.625,2019,3
1,5.0,857.3566433566433,2019,3
1,6.0,909.6,2019,3
1,7.0,878.7512224938876,2019,3
1,8.0,506.1538461538461,2019,3
1,9.0,1968.8333333333333,2019,3
1,10.0,1490.1461877756774,2019,3
1,11.0,861.3333333333334,2019,3
1,12.0,3799.0599078341015,2019,3
1,13.0,5618.21568627451,2019,3
1,14.0,10106.25,2019,3
1,15.0,6830.0,2019,3
2,2.0,200.0,2019,3
2,3.0,205.7142857142857,2019,3
2,4.0,699.0,2019,3
2,5.0,527.5573770491803,2019,3
2,6.0,347.5,2019,3
2,7.0,648.8738738738739,2019,3
2,8.0,367.5384615384616,2019,3
2,9.0,1080.0,2019,3
2,10.0,1049.9879414298018,2019,3
2,11.0,640.4545454545455,2019,3
2,12.0,2371.1497005988026,2019,3
2,13.0,3627.294392523365,2019,3
2,14.0,4091.75,2019,3
2,15.0,7012.5,2019,3
1,2.0,450.0,2019,4
1,3.0,641.8301886792453,2019,4
1,4.0,371.55555555555554,2019,4
1,5.0,821.1045751633987,2019,4
1,6.0,900.0,2019,4
1,7.0,873.3951807228916,2019,4
1,8.0,679.3636363636364,2019,4
1,9.0,3087.333333333333,2019,4
1,10.0,1491.1848184818482,2019,4
1,11.0,950.4827586206897,2019,4
1,12.0,3847.2464114832537,2019,4
1,13.0,6376.8557692307695,2019,4
1,14.0,8493.619047619048,2019,4
1,15.0,9083.333333333334,2019,4
2,2.0,899.3333333333334,2019,4
2,3.0,362.0,2019,4
2,4.0,290.0,2019,4
2,5.0,567.703125,2019,4
2,6.0,301.3333333333333,2019,4
2,7.0,674.4060606060606,2019,4
2,8.0,502.4285714285714,2019,4
2,9.0,1749.6,2019,4
2,10.0,1041.5397631133671,2019,4
2,11.0,843.0,2019,4
2,12.0,2256.4437751004016,2019,4
2,13.0,4212.847619047619,2019,4
2,14.0,4181.125,2019,4
2,15.0,8143.5,2019,4
1,2.0,1612.5,2020,1
1,3.0,510.7631578947368,2020,1
1,4.0,696.25,2020,1
1,5.0,877.0895522388059,2020,1
1,6.0,1183.3333333333333,2020,1
1,7.0,937.2626188734456,2020,1
1,8.0,743.9444444444445,2020,1
1,9.0,2743.125,2020,1
1,10.0,1513.3382352941176,2020,1
1,11.0,915.375,2020,1
1,12.0,3786.790190735695,2020,1
